"id","ProductId","ManifestId","Date","TotalFiles","TotalFileSize","SizeDisk","SizeCompressed","TotalChunks","Compression"
"72","84","F544F0331E3FC6680C99963AFA45407893AE966E","0000-00-00","0","0","0","0","0","0"
"73","545","B72343F9658F862F562E5389E3D4FDBCC3EC1874","0000-00-00","0","0","0","0","0","0"
"74","88","BDBD4F9572F306DEBF069C71706E377F303D58CC","0000-00-00","0","0","0","0","0","0"
"75","89","5F0CD898EFBA0AD33C7619311B240A39A83AC6D6","0000-00-00","0","0","0","0","0","0"
"76","205","1A71790F725E242CE44951ADD487F2C0E139802D","0000-00-00","0","0","0","0","0","0"
"77","270","AB8451E365F908D36CF49686B66DDBE8B576F60E","0000-00-00","0","0","0","0","0","0"
"78","232","2F3A3DB85FE79D13D19DE9055CB2E2A508F5A0F4","0000-00-00","0","0","0","0","0","0"
"79","233","36D0BC282CDD25E1C5C5E4920018427A14247614","0000-00-00","0","0","0","0","0","0"
"80","271","2919953EE1E0C1C0AB9F31CB269A5D7F7E758CF3","0000-00-00","0","0","0","0","0","0"
"81","272","753CA0BDD0D6F8FD6F5FE7EEB7E217679C699E2C","0000-00-00","0","0","0","0","0","0"
"82","273","845BEB7C768D5073C9D3E2CDEEE15AFAD82C484D","0000-00-00","0","0","0","0","0","0"
"84","422","779ED4AF3C2AF8680D7802A319220CC07EEFF8E9","0000-00-00","0","0","0","0","0","0"
"85","428","4FCADFE4626401EAC8165FDBB32B52784381FE69","0000-00-00","0","0","0","0","0","0"
"86","441","31CCF1CF9FAE5CAB3E30D8F92B3AA5A37052E342","0000-00-00","0","0","0","0","0","0"
"87","2184","0A355E812C0FBD41385D979E75C72DBAD0856881","0000-00-00","0","0","0","0","0","0"
"88","507","61EA700CF666156E4D149E800CA7747A077FCB52","0000-00-00","0","0","0","0","0","0"
"89","2990","5CB9591C3D3260EB1610ECEC4B49B219BBF16630","0000-00-00","0","0","0","0","0","0"
"90","5183","0536BA3FCAF48519C15C8F153156E590FFFA30B7","0000-00-00","0","0","0","0","0","0"
"91","442","453E962A48DBE5C3DB10999EC1B244E081F57CA8","0000-00-00","0","0","0","0","0","0"
"92","443","09D48938163F3BA7B090CFB10E7C88796917EBF3","0000-00-00","0","0","0","0","0","0"
"93","544","832C63CB05AF32FF0E899152657C72473B9E4271","0000-00-00","0","0","0","0","0","0"
"94","5002","6858BAAE82B4EC69FE993D350E392A71B1A13D75","0000-00-00","0","0","0","0","0","0"
"97","895","B9C068ECF7F44B8B3A249A08CFCCDFA9046133B2","0000-00-00","0","0","0","0","0","0"
"98","599","0C3D19B8681787293905C848F20553A0D21133C6","0000-00-00","0","0","0","0","0","0"
"99","609","79186343FABD5ADD28DBD0167CD7E05AFEFDBD5B","0000-00-00","0","0","0","0","0","0"
"100","4932","3C6D611271FAD3BADC1CDD436EEDCACDE2A587D6","0000-00-00","0","0","0","0","0","0"
"101","2989","C2B15F230071FE65C55593F8C354BE7203E39618","0000-00-00","0","0","0","0","0","0"
"102","616","31CCF1CF9FAE5CAB3E30D8F92B3AA5A37052E342","0000-00-00","0","0","0","0","0","0"
"103","617","453E962A48DBE5C3DB10999EC1B244E081F57CA8","0000-00-00","0","0","0","0","0","0"
"104","619","B21212F061891E84446C839C7F8BEC83ADCCBF07","0000-00-00","0","0","0","0","0","0"
"106","635","EA2FA32A0711F0A9B8C4C9D754AA0BD8A8D9421E","0000-00-00","0","0","0","0","0","0"
"108","664","A8C03481200037CB2B1B2DA502E60F2F7F2DC2D3","0000-00-00","0","0","0","0","0","0"
"110","801","69E22554A9C33A35ACBE7F3CA37977D2B6D7A180","0000-00-00","0","0","0","0","0","0"
"111","12675","5B176FC3BA306097C971459876DBEF47B3BFA184","0000-00-00","0","0","0","0","0","0"
"112","825","3C1959EF071AC3AE3F3F8995A0A3307E959AEFAD","0000-00-00","0","0","0","0","0","0"
"113","944","B9A8C01D02094E5B21EFB4D970930031A17FDE9C","0000-00-00","0","0","0","0","0","0"
"114","969","BCA8BDFA71E7939FCCE6669E31B91B6AEBBC3DC0","0000-00-00","0","0","0","0","0","0"
"115","5719","4A08ADB1EA017728257604CBA9A0B63B0669455A","0000-00-00","0","0","0","0","0","0"
"116","1253","03FE0A0279FD51D5E9448937BB7E8FFC7EFD4BC5","0000-00-00","0","0","0","0","0","0"
"117","5452","6A937EE6DDEDD0D373918FEB1DEC229E2DDFEC90","0000-00-00","0","0","0","0","0","0"
"118","1651","D5AFC6E918822B3B9C3AF32D3B28C4902D072A60","0000-00-00","0","0","0","0","0","0"
"120","2970","2B3769F3857BC59B189F75FD9934A5CEA90685D5","0000-00-00","0","0","0","0","0","0"
"123","1803","BFA316B1ECAED02F4A753D07335B2EFC02252CD8","0000-00-00","0","0","0","0","0","0"
